Auswertung fÃ¼r: V101220_Charakter_Daten.txt
Tenside: V101220 Mn: 618.283774980164 Mw: 709.1621952602341 PDI: 1.1469849670290728 EOGruppen: 6.772744525559491 CO2 Gruppen: 4.435487184900373 CO2 Gehalt: 27.52

Summe XI:0.9999999999992376 Summe WI0.9999999999992376
M/Z Relativ xi xi*Mi ni*MI wi=(ni*Mi)/SUMME(ni*MI) mi*wi
200.05 0.01 2.2808033901849184E-6 4.562747182064929E-4 2.0005 7.379697424877901E-7 1.4763084698468242E-4
200.06 0.0 0.0 0.0 0.0 0.0 0.0
200.06 0.0 0.0 0.0 0.0 0.0 0.0
200.09 0.01 2.2808033901849184E-6 4.5636595034210034E-4 2.0009 7.381172995470228E-7 1.476898904663638E-4
200.1 0.01 2.2808033901849184E-6 4.5638875837600214E-4 2.001 7.381541888118309E-7 1.4770465318124736E-4
200.1 0.0 0.0 0.0 0.0 0.0 0.0
200.12 0.0 0.0 0.0 0.0 0.0 0.0
200.12 0.01 2.2808033901849184E-6 4.5643437444380585E-4 2.0012 7.382279673414472E-7 1.4773418082437043E-4
200.12 0.01 2.2808033901849184E-6 4.5643437444380585E-4 2.0012 7.382279673414472E-7 1.4773418082437043E-4
200.12 0.01 2.2808033901849184E-6 4.5643437444380585E-4 2.0012 7.382279673414472E-7 1.4773418082437043E-4
200.15 0.01 2.2808033901849184E-6 4.565027985455114E-4 2.0015 7.383386351358719E-7 1.4777847782244477E-4
200.15 0.01 2.2808033901849184E-6 4.565027985455114E-4 2.0015 7.383386351358719E-7 1.4777847782244477E-4
200.16 0.01 2.2808033901849184E-6 4.5652560657941327E-4 2.0016 7.3837552440068E-7 1.4779324496404011E-4
200.17 0.0 0.0 0.0 0.0 0.0 0.0
200.2 0.0 0.0 0.0 0.0 0.0 0.0
200.24 0.0 0.0 0.0 0.0 0.0 0.0
200.25 0.0 0.0 0.0 0.0 0.0 0.0
200.28 0.01 2.2808033901849184E-6 4.5679930298623547E-4 2.0028 7.388181955783783E-7 1.479705082104376E-4
200.3 0.0 0.0 0.0 0.0 0.0 0.0
200.3 0.0 0.0 0.0 0.0 0.0 0.0
200.3 0.0 0.0 0.0 0.0 0.0 0.0
200.3 0.01 2.2808033901849184E-6 4.568449190540392E-4 2.003 7.388919741079947E-7 1.4800006241383134E-4
200.31 0.01 2.2808033901849184E-6 4.56867727087941E-4 2.0031 7.389288633728028E-7 1.4801484062220614E-4
200.33 0.01 2.2808033901849184E-6 4.5691334315574474E-4 2.0033000000000003 7.390026419024194E-7 1.4804439925231167E-4
200.33 0.01 2.2808033901849184E-6 4.5691334315574474E-4 2.0033000000000003 7.390026419024194E-7 1.4804439925231167E-4
200.34 0.01 2.2808033901849184E-6 4.5693615118964654E-4 2.0034 7.390395311672275E-7 1.4805917967404235E-4
200.35 0.0 0.0 0.0 0.0 0.0 0.0
200.37 0.0 0.0 0.0 0.0 0.0 0.0
200.38 0.01 2.2808033901849184E-6 4.570273833252539E-4 2.0038 7.391870882264602E-7 1.481183087388181E-4
200.38 0.0 0.0 0.0 0.0 0.0 0.0
200.38 0.01 2.2808033901849184E-6 4.570273833252539E-4 2.0038 7.391870882264602E-7 1.481183087388181E-4
200.43 0.01 2.2808033901849184E-6 4.571414234947632E-4 2.0043 7.393715345505012E-7 1.4819223666995694E-4
200.45 0.01 2.2808033901849184E-6 4.571870395625669E-4 2.0044999999999997 7.394453130801174E-7 1.4822181300690952E-4
200.45 0.0 0.0 0.0 0.0 0.0 0.0
200.46 0.0 0.0 0.0 0.0 0.0 0.0
200.49 0.0 0.0 0.0 0.0 0.0 0.0
200.51 0.0 0.0 0.0 0.0 0.0 0.0
200.53 0.0 0.0 0.0 0.0 0.0 0.0
200.53 0.0 0.0 0.0 0.0 0.0 0.0
200.55 0.0 0.0 0.0 0.0 0.0 0.0
200.57 0.01 2.2808033901849184E-6 4.574607359693891E-4 2.0057 7.398879842578158E-7 1.4839933300259012E-4
200.59 0.01 2.2808033901849184E-6 4.575063520371928E-4 2.0059 7.399617627874321E-7 1.48428929997531E-4
200.6 0.0 0.0 0.0 0.0 0.0 0.0
200.62 0.01 2.2808033901849184E-6 4.5757477613889836E-4 2.0062 7.400724305818567E-7 1.484733310233321E-4
200.64 0.01 2.2808033901849184E-6 4.57620392206702E-4 2.0063999999999997 7.40146209111473E-7 1.4850293539612594E-4
200.65 0.01 2.2808033901849184E-6 4.5764320024060387E-4 2.0065 7.401830983762812E-7 1.4851773868920082E-4
200.67 0.0 0.0 0.0 0.0 0.0 0.0
200.68 0.01 2.2808033901849184E-6 4.5771162434230943E-4 2.0068 7.402937661707058E-7 1.4856215299513723E-4
200.73 0.0 0.0 0.0 0.0 0.0 0.0
200.73 0.01 2.2808033901849184E-6 4.5782566451181865E-4 2.0073 7.404782124947466E-7 1.4863619159407047E-4
200.76 0.0 0.0 0.0 0.0 0.0 0.0
200.76 0.0 0.0 0.0 0.0 0.0 0.0
200.76 0.0 0.0 0.0 0.0 0.0 0.0
200.77 0.01 2.2808033901849184E-6 4.5791689664742606E-4 2.0077000000000003 7.406257695539796E-7 1.486954357533525E-4
200.8 0.0 0.0 0.0 0.0 0.0 0.0
200.81 0.01 2.2808033901849184E-6 4.580081287830335E-4 2.0081 7.407733266132123E-7 1.4875469171719916E-4
